lad_code,overall_score,overall_rank,overall_quantiles,individual_domain_score,individual_domain_rank,individual_domain_quantiles,community_domain_score,community_domain_rank,community_domain_quantiles,heat_hazard_quantiles,fire_quantiles,flood_quantiles
E07000210,25.264162030624284,95,2,-1.159638294978952,121,2,-0.1231473901787696,144,3,1,3,3
E07000211,27.547323344306484,107,2,-3.773975850049709,53,1,0.5775656394725945,200,4,1,2,2
E07000212,23.165785741326438,84,2,-5.277286031691768,24,1,0.4348789040366684,190,4,2,2,5
E07000213,50.78081385947851,195,4,-5.647670956689462,16,1,2.333007742493903,277,5,5,3,3
E07000214,22.453101441730574,82,2,-5.403195297726581,22,1,0.4241236257393951,187,4,1,1,2
E07000215,19.34372912185755,71,2,-1.2899536601828456,115,2,-0.6802883737284531,101,2,1,2,3
E07000216,18.748207825750733,67,2,-0.6986604854673552,140,3,-1.4121119435420035,64,2,1,1,4
E07000217,12.32229003793018,41,1,-5.860067298076024,10,1,-0.391402806477831,125,3,2,4,1
E07000218,49.55139020457628,192,4,2.0760158194822433,222,4,0.4328035057414189,189,4,1,1,4
E07000219,58.75894297607941,227,4,1.0731287352819991,193,4,1.521880295176818,250,5,1,1,3
E07000220,42.77596520671523,167,3,0.46838374291852664,174,3,0.6657638580713452,204,4,1,1,3
E07000221,44.92693995200247,175,3,2.815259999180825,240,4,-0.40056126036389794,124,2,1,1,5
E07000222,16.960293240105926,62,1,-1.1956122621119578,119,2,-1.2511627315903993,73,2,3,1,3
E07000223,23.465433750106335,86,2,-1.3437574734413738,109,2,-0.1530969202291695,141,3,4,4,3
E07000224,69.64538920364595,254,5,1.739902741001492,206,4,2.079353183431042,269,5,3,4,4
E07000225,71.35689212391073,258,5,5.704801737095611,289,5,-0.3140380199946765,131,3,3,5,5
E07000226,67.64860367024228,251,5,-4.9821140263749655,28,1,3.0855498314000176,295,5,2,4,3
E07000227,41.701154132947636,158,3,0.22255888361995063,166,3,0.6701181388836555,205,4,1,4,4
E07000228,12.652243993328801,44,1,-2.968210732626416,72,2,-1.1030850160956378,80,2,2,1,3
E07000229,25.2766117202425,96,2,0.48710960630929145,175,3,-1.1907026325809573,78,2,4,4,1
E07000234,22.21599756246769,80,2,-2.4419500087130843,80,2,-0.02749537203838326,154,3,1,3,3
