MSOA11CD,No. people in flood risk areas,% people in flood risk areas
E02004268,585,0.059590506
E02004269,489,0.049423893
E02004272,820,0.068913354
E02004273,544,0.075314966
E02004274,263,0.040158803
E02004275,476,0.063146723
E02004276,981,0.176693084
E02004279,562,0.06992659
E02004282,362,0.041201912
E02004283,230,0.026282711
E02004284,1998,0.204210957
E02004345,271,0.02129164
E02004348,564,0.070650132
E02004350,514,0.05303343
E02004352,441,0.055555556
E02004354,699,0.076762574
E02004356,247,0.03309661
E02004358,2502,0.312789099
E02004362,5784,0.645463676
E02004365,941,0.112130601
E02004369,277,0.028586171
E02004375,269,0.031351981
E02004376,240,0.033855269
E02004377,378,0.034539474
E02004378,590,0.067290146
E02004381,1023,0.100927388
E02004383,281,0.035993339
E02004386,849,0.126170308
E02004390,391,0.047805355
E02004391,1458,0.218198144
E02004393,815,0.125481139
E02004395,3733,0.448031685
E02004396,250,0.027298537
E02004400,170,0.016781836
E02004401,245,0.030120482
E02004402,453,0.046986827
E02004415,345,0.049173318
E02004422,2696,0.245582073
E02004425,315,0.042729246
E02004446,261,0.038007864
E02004447,347,0.058664413
E02004449,216,0.025204201
E02004450,259,0.040761725
E02004452,313,0.033724814
E02004456,221,0.022135417
E02004472,1008,0.164196123
E02004480,7184,1
E02004481,6832,1
E02004482,8551,1
E02004483,8344,1
E02004484,7938,1
E02004493,308,0.029260878
E02004494,442,0.034680267
E02004503,442,0.055374593
E02004504,1347,0.16845923
E02004512,1156,0.099569337
E02004513,516,0.037969095
E02004515,560,0.064597993
E02004521,675,0.073457395
E02004522,863,0.071856786
E02004524,311,0.037067938
E02004527,593,0.066998079
E02004528,1104,0.131007476
E02004530,292,0.044546148
E02004534,573,0.063356922
E02004535,328,0.055367995
E02004538,327,0.033377565
E02004552,256,0.040245244
E02004557,4160,0.486663547
E02004558,339,0.048854302
E02004560,479,0.052195707
E02004562,1427,0.179316411
E02004563,290,0.044214057
E02004566,406,0.067779633
E02004572,1275,0.161290323
E02004573,2659,0.407259917
